Message -> La ruta de acceso no tiene un formato válido.
Guardado proyecto XML  | Fecha: 11/10/2021 17:57:41
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 13/10/2021 10:30:25
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 13/10/2021 10:42:32
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 13/10/2021 10:43:02
Guardado proyecto XML  | Fecha: 13/10/2021 16:55:43
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:12:01
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:13:12
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:15:56
¡Indique un nombre para el proyecto! | Fecha: 13/10/2021 17:16:01
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:18:11
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:18:17
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:18:22
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:18:25
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:18:44
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:18:48
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:19:00
¡Guarde el proyecto actual! | Fecha: 13/10/2021 17:19:05
¡Indique un nombre para el proyecto! | Fecha: 13/10/2021 17:19:15
¡Guarde el proyecto actual! | Fecha: 14/10/2021 13:09:31
¡Guarde el proyecto actual! | Fecha: 14/10/2021 13:09:35
¡Indique un nombre para el proyecto! | Fecha: 14/10/2021 13:09:48
¡Guarde el proyecto actual! | Fecha: 14/10/2021 15:31:39
Guardado proyecto XML  | Fecha: 14/10/2021 15:36:40
¡Guarde el proyecto actual! | Fecha: 14/10/2021 15:37:37
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 10:07:47
Guardado proyecto XML  | Fecha: 15/10/2021 10:08:48
Guardado proyecto XML  | Fecha: 15/10/2021 10:10:49
¡Guarde el proyecto actual! | Fecha: 15/10/2021 10:11:35
¡Indique un nombre para el proyecto! | Fecha: 15/10/2021 10:11:42
Guardado proyecto XML  | Fecha: 15/10/2021 10:17:31
Guardado proyecto XML  | Fecha: 15/10/2021 10:23:55
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 10:26:25
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 10:46:21
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 10:46:24
Guardado proyecto XML  | Fecha: 15/10/2021 10:59:11
Guardado proyecto XML  | Fecha: 15/10/2021 11:03:44
Guardado proyecto XML  | Fecha: 15/10/2021 11:12:40
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:13:19
Guardado proyecto XML  | Fecha: 15/10/2021 11:13:36
¡Guarde el proyecto actual! | Fecha: 15/10/2021 11:14:00
¡Guarde el proyecto actual! | Fecha: 15/10/2021 11:14:04
Guardado proyecto XML  | Fecha: 15/10/2021 11:15:40
Guardado proyecto XML  | Fecha: 15/10/2021 11:16:16
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:16:20
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:16:28
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:17:16
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:19:52
Guardado proyecto XML  | Fecha: 15/10/2021 11:21:32
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:24:10
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:28:43
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:28:46
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 15/10/2021 11:28:52
Guardado proyecto XML  | Fecha: 15/10/2021 12:18:08
Guardado proyecto XML  | Fecha: 15/10/2021 12:21:16
Guardado proyecto XML  | Fecha: 15/10/2021 12:40:57
Guardado proyecto XML  | Fecha: 15/10/2021 12:42:36
Error: Message -> La etiqueta de apertura 'PathBackup' en la línea 10 posición 6 no coincide con la etiqueta de cierre de 'Proyecto'. línea 21, posición 5. | Fecha: 15/10/2021 12:49:43
¡Indique un nombre para el proyecto! | Fecha: 15/10/2021 12:50:00
Guardado proyecto XML  | Fecha: 15/10/2021 12:50:07
¡Revise el archivo XML! 
Message -> La etiqueta de apertura 'PathBackup' en la línea 7 posición 6 no coincide con la etiqueta de cierre de 'Proyecto'. línea 10, posición 5. | Fecha: 15/10/2021 12:52:08
¡Archivo XML corrupto! 
Message -> La etiqueta de apertura 'PathBackup' en la línea 7 posición 6 no coincide con la etiqueta de cierre de 'Proyecto'. línea 10, posición 5. | Fecha: 15/10/2021 12:55:34
¡Archivo XML corrupto! 
Message -> La etiqueta de apertura 'PathBackup' en la línea 7 posición 6 no coincide con la etiqueta de cierre de 'Proyecto'. línea 10, posición 5. | Fecha: 15/10/2021 12:59:45
¡Archivo XML corrupto! 
Message -> La etiqueta de apertura 'PathBackup' en la línea 7 posición 6 no coincide con la etiqueta de cierre de 'Proyecto'. línea 10, posición 5. | Fecha: 15/10/2021 13:00:54
¡Indique un nombre para el proyecto! | Fecha: 15/10/2021 13:06:04
¡Indique un nombre para el proyecto! | Fecha: 15/10/2021 13:06:08
Guardado proyecto XML  | Fecha: 15/10/2021 13:06:22
Guardado proyecto XML  | Fecha: 15/10/2021 13:06:36
Guardado proyecto XML  | Fecha: 15/10/2021 13:08:02
Guardado proyecto XML  | Fecha: 15/10/2021 13:48:03
Guardado proyecto XML  | Fecha: 15/10/2021 13:48:13
Guardado proyecto XML  | Fecha: 15/10/2021 14:18:36
Guardado proyecto XML  | Fecha: 15/10/2021 14:18:39
Guardado proyecto XML  | Fecha: 15/10/2021 14:19:04
Guardado proyecto XML  | Fecha: 15/10/2021 14:19:16
Guardado proyecto XML  | Fecha: 15/10/2021 14:19:49
Guardado proyecto XML  | Fecha: 15/10/2021 14:20:21
Guardado proyecto XML  | Fecha: 15/10/2021 14:42:17
Guardado proyecto XML  | Fecha: 18/10/2021 13:49:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937 | Fecha: 18/10/2021 13:49:37
Guardado proyecto XML  | Fecha: 18/10/2021 13:50:14
